StartTime,TimeDeltaRbcast,TotalTimeDeltaCommit,TimeDeltaConsensus
1729118937.216979,2.569474220275879,65.57880544662476,63.00933122634888
1729118950.6930828,4.112173318862915,52.102720975875854,47.99054765701294
1729118956.7174635,5.861717700958252,46.07834601402283,40.216628313064575
1729118944.1487007,4.06852912902832,58.647114515304565,54.578585386276245
1729118990.186034,5.104572534561157,44.65400218963623,39.54942965507507
1729118983.1598563,5.7925708293914795,51.68020176887512,45.88763093948364
1729118970.5381553,5.797842025756836,64.30190896987915,58.504066944122314
1729118976.3541398,5.801173210144043,58.48593044281006,52.684757232666016
1729119002.8462021,5.818545579910278,64.21977353096008,58.401227951049805
1729119022.6951573,4.323427200317383,44.37083411216736,40.047406911849976
1729119016.1076035,5.7477638721466064,50.958393573760986,45.21062970161438
1729119009.5142498,4.93449592590332,57.55175280570984,52.61725687980652
1729119034.8616436,5.15753436088562,65.57292222976685,60.415387868881226
1729119048.5351763,4.437586307525635,51.89941668510437,47.461830377578735
1729119041.7422173,5.011746168136597,58.692381143569946,53.68063497543335
1729119054.655482,4.937129020690918,45.77912163734436,40.84199261665344
1729119087.9278283,4.23395848274231,44.52699851989746,40.29304003715515
1729119081.5450907,4.96966290473938,50.9097695350647,45.94010663032532
1729119067.0844777,6.552260875701904,65.37038898468018,58.81812810897827
1729119073.9663897,5.870005369186401,58.4884831905365,52.6184778213501
1729119120.7147558,4.882951498031616,45.54338002204895,40.660428524017334
1729119107.6828456,5.822688341140747,58.57532024383545,52.7526319026947
1729119113.9539578,5.083564519882202,52.304214000701904,47.2206494808197
1729119100.4558039,5.762596607208252,65.80237364768982,60.03977704048157
1729119139.2690928,4.4352593421936035,59.16367530822754,54.728415966033936
1729119145.526501,5.782978773117065,52.90628099441528,47.12330222129822
1729119132.489312,4.989661455154419,65.94347548484802,60.9538140296936
1729119152.5330534,5.9249184131622314,45.89973855018616,39.974820137023926
1729119172.0537615,5.80377459526062,58.49439764022827,52.69062304496765
1729119185.9169505,4.988328456878662,44.63122510910034,39.64289665222168
1729119166.2794173,5.757119655609131,64.26876592636108,58.51164627075195
1729119178.7914307,5.796038389205933,51.75675821304321,45.96071982383728
1729119218.785741,5.729654312133789,45.42458891868591,39.694934606552124
1729119198.453075,5.763348817825317,65.75726747512817,59.993918657302856
1729119212.063485,4.2117650508880615,52.14686346054077,47.93509840965271
1729119205.2294245,4.919526100158691,58.9809296131134,54.06140351295471
1729119230.5934055,5.359867811203003,65.69722247123718,60.33735466003418
1729119237.6536367,5.858952760696411,58.63700485229492,52.77805209159851
1729119244.4403973,4.388259172439575,51.850250005722046,47.46199083328247
1729119250.5402908,5.0100836753845215,45.7503616809845,40.740278005599976
1729119270.9275372,5.0431809425354,57.282469511032104,52.239288568496704
1729119283.7146719,5.044630527496338,44.49536848068237,39.450737953186035
1729119276.7306335,5.81132173538208,51.4794135093689,45.668091773986816
1729119264.2391884,5.864957332611084,63.970863580703735,58.10590624809265
1729119302.9287217,5.068629026412964,58.33438038825989,53.265751361846924
1729119315.5542731,6.579086542129517,45.708842754364014,39.1297562122345
1729119296.313566,5.741090774536133,64.94955492019653,59.2084641456604
1729119309.708748,5.834402084350586,51.55437922477722,45.719977140426636
1729119342.1885872,4.429215908050537,51.598432540893555,47.16921663284302
1729119348.321288,5.912771701812744,45.46574592590332,39.552974224090576
1729119328.2514775,5.364098072052002,65.53556227684021,60.17146420478821
1729119335.2697177,5.099754333496094,58.51732778549194,53.41757345199585
1729119361.2893007,6.631700277328491,64.55917954444885,57.92747926712036
1729119375.1754935,5.020787954330444,50.673001527786255,45.65221357345581
1729119381.3899138,4.956874132156372,44.458590507507324,39.50171637535095
1729119367.9456964,5.828353404998779,57.90281534194946,52.074461936950684
1729119401.1301003,5.872221946716309,58.20260548591614,52.33038353919983
1729119407.368496,5.036425352096558,51.96422481536865,46.927799463272095
1729119414.1285393,5.776585102081299,45.20418667793274,39.42760157585144
1729119393.8300252,5.870255708694458,65.5027105808258,59.63245487213135
1729119433.6707392,5.1057422161102295,57.14091372489929,52.03517150878906
1729119446.3216288,5.8702232837677,44.4900381565094,38.6198148727417
1729119440.4698057,5.8166773319244385,50.3418664932251,44.52518916130066
1729119425.8961153,5.79353666305542,64.91556215286255,59.12202548980713
1729119465.2300124,5.049175977706909,58.75635266304016,53.70717668533325
1729119472.544537,4.929407596588135,51.44184327125549,46.51243567466736
1729119479.179849,4.942692756652832,44.80653715133667,39.86384439468384
1729119459.3982282,4.046037912368774,64.58816361427307,60.5421257019043
1729119505.4818094,5.128367185592651,52.316120624542236,47.187753438949585
1729119490.8431337,6.661468505859375,66.95481300354004,60.293344497680664
1729119512.3768044,5.768912315368652,45.421149253845215,39.65223693847656
1729119498.427158,5.757610321044922,59.370800495147705,53.61319017410278
1729119538.5687375,5.766688108444214,51.09547972679138,45.32879161834717
1729119524.0217447,6.643028736114502,65.64248538017273,58.99945664405823
1729119531.714477,5.149176836013794,57.94975829124451,52.80058145523071
1729119544.3574836,5.840225458145142,45.3067569732666,39.46653151512146
