StartTime,TimeDeltaRbcast,TotalTimeDeltaCommit,TimeDeltaConsensus
1729143552.5450613,33.20757555961609,115.7620050907135,82.55442953109741
1729143499.1537259,15.293989658355713,169.1533534526825,153.85936379432678
1729143507.3601584,16.570987939834595,160.94692707061768,144.37593913078308
1729143542.9592276,29.606481075286865,125.34786367416382,95.74138259887695
1729143533.4369304,26.10028052330017,134.87016677856445,108.76988625526428
1729143561.9562848,37.16614747047424,106.35081720352173,69.18466973304749
1729143516.8182762,20.11366319656372,151.48883199691772,131.375168800354
1729143491.1700075,7.982129812240601,177.13710498809814,169.15497517585754
1729143596.739099,47.6556453704834,115.6568055152893,68.00116014480591
1729143578.3779638,42.13435912132263,134.0179569721222,91.88359785079956
1729143588.4366229,42.94051766395569,123.95930671691895,81.01878905296326
1729143605.0818546,47.717921018600464,107.3140823841095,59.59616136550903
1729143642.0644996,62.007914304733276,114.37621688842773,52.36830258369446
1729143624.3442516,55.770811557769775,132.0964856147766,76.32567405700684
1729143633.7791862,58.33873653411865,122.66155743598938,64.32282090187073
1729143652.8017223,67.96732211112976,150.00634384155273,82.03902173042297
1729143668.3250928,71.46713042259216,134.48299193382263,63.01586151123047
1729143767.1133106,108.0801899433136,167.483252286911,59.40306234359741
1729143721.9435613,90.38873291015625,212.65301656723022,122.26428365707397
1729143686.1890495,78.45305871963501,248.40753555297852,169.9544768333435
1729143740.9826696,98.49634218215942,193.6139235496521,95.11758136749268
1729143695.7374332,82.05064702033997,238.85916686058044,156.80851984024048
1729143756.4594533,102.15695285797119,178.13715195655823,75.98019909858704
1729143677.7709792,73.83669185638428,256.82563161849976,182.98893976211548
1729143731.4465666,93.87275791168213,203.15005040168762,109.2772924900055
1729143712.4182491,87.98827743530273,222.1783742904663,134.19009685516357
1729143783.8017719,110.50216865539551,194.77501440048218,84.27284574508667
1729143802.8277228,121.14373135566711,175.74907875061035,54.60534739494324
1729143775.463195,112.88931393623352,203.11361289024353,90.22429895401001
1729143828.8791447,129.35218453407288,194.99804878234863,65.64586424827576
1729143820.6205158,125.79924273490906,203.25669479370117,77.45745205879211
1729143812.3357341,124.63045716285706,211.54148292541504,86.91102576255798
1729143856.2891598,137.80723452568054,211.4334020614624,73.62616753578186
1729143864.5896246,143.79839086532593,203.1329538822174,59.33456301689148
1729143846.7245142,135.402325630188,220.99807000160217,85.59574437141418
1729143872.8843591,145.0700705051422,238.6701533794403,93.6000828742981
1729143891.745437,152.24692153930664,219.8090944290161,67.56217288970947
1729143900.2207136,156.77260732650757,211.33382749557495,54.56122016906738
1729143908.6376941,156.63455200195312,248.09914326667786,91.46459126472473
1729143916.8495836,162.8128764629364,239.8872685432434,77.074392080307
1729143934.6212807,166.2805278301239,222.11557793617249,55.835050106048584
