Nnodes,TimeIdentified,TimeUnblocked,TimeDelta
4,1728025297.946755,1728025365.7784464,67.83169150352478
4,1728025535.8274589,1728025582.6620197,46.83456087112427
4,1728025773.672567,1728025830.8064058,57.13383889198303
